Rank,CCA3,Country Name,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population,Total doses per 100 residents,Percent vaccinated (at least one dose),Percent fully vaccinated,Booster doses per 100 residents,Area (km²),Population Density 2022,Growth Rate,World Population Percentage
36,AFG,Afghanistan,36686784,37769499,38972230,40099462,41128771,31.6,29.1,27.3,0,652230,63.0587,1.0257,0.52
138,ALB,Albania,2866376,2854191,2837849,2811666,2842321,106.3,47.3,44.7,13.2,28748,98.8702,0.9957,0.04
34,DZA,Algeria,41927007,42705368,43451666,44177969,44903225,34.8,17.9,14.8,1.3,2381741,18.8531,1.0164,0.56
213,ASM,American Samoa,48424,47321,46189,45035,44273,208.2,83.6,76.9,44.6,199,222.4774,0.9831,0
203,AND,Andorra,75013,76343,77700,79034,79824,199.8,74.9,69.2,55.6,468,170.5641,1.01,0
42,AGO,Angola,31273533,32353588,33428486,34503774,35588987,71.4,45.3,24.9,4.2,1246700,28.5466,1.0315,0.45
201,ATG,Antigua and Barbuda,91626,92117,92664,93219,93763,139.4,65.7,63.7,10,442,212.1335,1.0058,0
33,ARG,Argentina,44494502,44938712,45376763,45808747,45510318,246.6,91.2,83.5,72.6,2780400,16.3683,1.0052,0.57
140,ARM,Armenia,2836557,2820602,2805608,2790974,2780469,72.6,38.1,33.3,1.4,29743,93.4831,0.9962,0.03
198,ABW,Aruba,105962,106442,106585,106537,106445,163.1,84.4,78.7,0,180,591.3611,0.9991,0
55,AUS,Australia,24966643,25340217,25655289,25688079,26177413,247.5,86.6,84.3,76.7,7692024,3.4032,1.0099,0.33
99,AUT,Austria,8840521,8879920,8916864,8955797,8939617,225.5,77.3,74.9,67.4,83871,106.5877,1.002,0.11
91,AZE,Azerbaijan,9939771,10024283,10093121,10137750,10358074,137.1,53.6,48.2,34.5,86600,119.6082,1.0044,0.13
176,BHS,Bahamas,401906,404557,406471,407906,409984,92.7,44.3,42.1,9.3,13943,29.4043,1.0051,0.01
154,BHR,Bahrain,1487340,1494188,1477469,1463265,1472233,204.3,72.9,72.1,59.3,765,1924.4876,1.0061,0.02
8,BGD,Bangladesh,163683958,165516222,167420951,169356251,171186372,203.3,90.6,76.3,36.8,147570,1160.035,1.0108,2.15
186,BRB,Barbados,279688,280180,280693,281200,281635,132.6,57,53.9,21.6,430,654.9651,1.0015,0
96,BLR,Belarus,9438785,9419758,9379952,9340314,9534954,178.7,69.3,68.1,43.3,207600,45.9295,0.9955,0.12
81,BEL,Belgium,11427054,11488980,11538604,11592952,11655930,255.9,80.2,79.3,100.1,30528,381.8111,1.0038,0.15
177,BLZ,Belize,382066,389095,394921,400031,405272,126.2,63.3,55.6,12.8,22966,17.6466,1.0131,0.01
77,BEN,Benin,11940683,12290444,12643123,12996895,13352864,30.5,26.5,22.2,0,112622,118.5635,1.0274,0.17
206,BMU,Bermuda,63918,63911,63893,63867,64184,206.6,76,74.6,56.1,54,1188.5926,1,0
165,BTN,Bhutan,762096,767459,772506,777486,782455,260.7,90.6,87.8,82.2,38394,20.3796,1.0064,0.01
80,BOL,Bolivia,11606905,11777315,11936162,12079472,12224110,132.6,63.6,53.4,19.8,1098581,11.1272,1.012,0.15
137,BIH,Bosnia and Herzegovina,3400129,3360711,3318407,3270943,3233526,58.7,28.8,25.8,3.7,51209,63.1437,0.9886,0.04
