,CCA3,VaxCount,VaxGap,S/D
0,AFG,54620107.0,13491336.0,Surplus
1,ALB,3401302.0,558981.0,Surplus
2,DZA,51773752.0,6870527.0,Surplus
3,ASM,0.0,-44273.0,Deficit
4,AND,174897.0,95073.0,Surplus
5,AGO,59953623.0,24364636.0,Surplus
6,ATG,241977.0,148214.0,Surplus
7,ARG,151498082.0,105987764.0,Surplus
8,ARM,3477066.0,696597.0,Surplus
9,ABW,0.0,-106445.0,Deficit
10,AUS,259166822.0,232989409.0,Surplus
11,AUT,56525596.0,47585979.0,Surplus
12,AZE,15443704.0,5085630.0,Surplus
13,BHS,696432.0,286448.0,Surplus
14,BHR,3211678.0,1739445.0,Surplus
15,BGD,460685942.0,289499570.0,Surplus
16,BRB,506322.0,224687.0,Surplus
17,BLR,16568701.0,7033747.0,Surplus
18,BEL,73700956.0,62045026.0,Surplus
19,BLZ,1081902.0,676630.0,Surplus
20,BEN,12348204.0,-1004660.0,Deficit
21,BMU,0.0,-64184.0,Deficit
22,BTN,2549947.0,1767492.0,Surplus
23,BOL,31011164.0,18787054.0,Surplus
24,BIH,4016895.0,783369.0,Surplus
25,BWA,6335585.0,3705289.0,Surplus
26,BRA,610319212.0,395005714.0,Surplus
27,VGB,0.0,-31305.0,Deficit
28,BRN,1409173.0,960171.0,Surplus
29,BGR,42882590.0,36100637.0,Surplus
30,BFA,28263249.0,5589487.0,Surplus
31,BDI,15993364.0,3103788.0,Surplus
32,CPV,1249706.0,656557.0,Surplus
33,KHM,74529307.0,57761465.0,Surplus
34,CMR,33588169.0,5673633.0,Surplus
35,CAN,320088453.0,281634126.0,Surplus
36,CYM,0.0,-68706.0,Deficit
37,CAF,6865069.0,1285925.0,Surplus
38,TCD,21477535.0,3754220.0,Surplus
39,CHL,88576962.0,68973229.0,Surplus
40,CHN,3727838148.0,2301950811.0,Surplus
41,COL,141991574.0,90117550.0,Surplus
42,COM,1684420.0,847646.0,Surplus
43,COD,149935311.0,50925099.0,Surplus
44,COG,8687760.0,2717336.0,Surplus
45,CRI,15323043.0,10142214.0,Surplus
46,CIV,34242690.0,6082148.0,Surplus
47,HRV,25484133.0,21453775.0,Surplus
48,CUB,44726497.0,33514306.0,Surplus
49,CUW,0.0,-191163.0,Deficit
50,CYP,8115003.0,6863515.0,Surplus
51,CZE,66536086.0,56042100.0,Surplus
52,DNK,37193798.0,31311537.0,Surplus
53,DJI,2462428.0,1341579.0,Surplus
54,DMA,289035.0,216298.0,Surplus
55,DOM,32210347.0,20981526.0,Surplus
56,ECU,54390515.0,36389515.0,Surplus
57,EGY,248440175.0,137450072.0,Surplus
58,SLV,16044481.0,9708089.0,Surplus
59,GNQ,993468.0,-681440.0,Deficit
60,ERI,4420838.0,736806.0,Surplus
61,EST,8384749.0,7058687.0,Surplus
62,SWZ,1494332.0,292662.0,Surplus
63,ETH,141068995.0,17689071.0,Surplus
64,FRO,0.0,-53090.0,Deficit
65,FJI,2494399.0,1564633.0,Surplus
66,FIN,35034377.0,29493632.0,Surplus
67,FRA,408637040.0,344010412.0,Surplus
68,PYF,0.0,-306279.0,Deficit
69,GAB,2573370.0,184378.0,Surplus
70,GMB,3668568.0,962576.0,Surplus
