,partneriso,reporteriso,Trade_Indicator,CountryPair,L3,tradenorm,disnorm,score
19544,CAN,USA,0.8563999999999999,C840C124,000,0.9739565563516434,0.03694233818985964,0.9370142181617838
8141,NPL,IND,0.7928999999999999,C356C524,000,0.901740020470829,0.04015727907550238,0.8615827413953266
19615,MEX,USA,0.8793,C840C484,000,1.0,0.15226763757094827,0.8477323624290517
4035,MNG,CHN,0.7932,C156C496,000,0.9020812009553054,0.058745807261332175,0.8433353936939733
7633,MAC,HKG,0.6489999999999999,C344C446,000,0.7380871147503696,0.003045966750805467,0.7350411479995641
13352,IND,NPL,0.654,C524C356,000,0.7437734561583078,0.04015727907550238,0.7036161770828054
3600,USA,CAN,0.6389,C124C840,000,0.7266007051063347,0.03694233818985964,0.6896583669164751
2266,ZAF,BWA,0.6134999999999999,C072C710,000,0.6977140907540088,0.01284383965644103,0.6848702510975678
17705,BFA,CHE,0.7293,C756C854,000,0.829409757761856,0.19778519143749035,0.6316245663243656
17085,CPV,ESP,0.6606,C724C132,000,0.7512794268167861,0.17169282387590495,0.5795866029408812
13103,ARE,OMN,0.5128,C512C784,000,0.583191174798135,0.02199840009302717,0.5611927747051078
10475,THA,LAO,0.5044,C418C764,000,0.5736381212327988,0.02632672987435317,0.5473113913584456
16867,SWZ,ZAF,0.492,C710C748,000,0.5595359945411122,0.01498594066710908,0.5445500538740031
19625,NIC,USA,0.6140000000000001,C840C558,000,0.6982827248948028,0.1562745223836609,0.5420082025111419
19562,DOM,USA,0.5775,C840C214,000,0.6567724326168544,0.11887469199785877,0.5378977406189955
18162,RWA,ARE,0.6456,C784C646,000,0.7342204025929716,0.19766825588086107,0.5365521467121106
17027,ZAF,ZWE,0.511,C716C710,000,0.5811440918912771,0.046422077713777044,0.5347220141775001
18150,NER,ARE,0.7124,C784C562,000,0.8101899238030252,0.281058544966809,0.5291313788362162
7578,CHN,HKG,0.5465,C344C156,000,0.6215171158876379,0.09905434069998938,0.5224627751876485
19639,KNA,USA,0.5738,C840C659,000,0.6525645399749801,0.13901632787266505,0.513548212102315
12292,USA,MEX,0.5761000000000001,C484C840,000,0.6551802570226317,0.15226763757094827,0.5029126194516834
15605,BLR,RUS,0.4697,C643C112,000,0.5341749118617082,0.0344323688447188,0.4997425430169894
11771,SEN,MLI,0.47609999999999997,C466C686,000,0.5414534288638689,0.05247253793764372,0.4889808909262252
8857,ALB,ITA,0.44989999999999997,C380C008,000,0.5116569998862731,0.03066300906814441,0.4809939908181287
6876,MKD,DEU,0.4626,C276C807,000,0.526100307062436,0.06609510424456523,0.46000520281787083
15388,ESP,PRT,0.4204,C620C724,000,0.4781075855794382,0.025107427337558316,0.4530001582418799
17795,LAO,THA,0.4184,C764C418,000,0.47583304901626294,0.02632672987435317,0.44950631914190975
18588,GMB,UGA,0.6423000000000001,C800C270,000,0.7304674172637327,0.281597160265368,0.44887025699836464
19579,GUY,USA,0.5690000000000001,C840C328,000,0.6471056522233596,0.20261283053215953,0.4444928216912001
19580,HND,USA,0.5012,C840C340,000,0.5699988627317184,0.14715099272423257,0.4228478700074858
3970,TWN,CHN,0.4446,C156C158,000,0.5056294779938587,0.08611559428123478,0.41951388371262394
1040,DEU,AUT,0.3864,C040C276,000,0.43944046400545894,0.02626092417683984,0.4131795398286191
8861,AZE,ITA,0.4927,C380C031,000,0.5603320823382236,0.15607503523604643,0.4042570471021772
1274,SAU,BHR,0.36519999999999997,C048C682,000,0.4153303764358012,0.021312580321144234,0.3940177961146569
19591,JAM,USA,0.44699999999999995,C840C388,000,0.508358921869669,0.11659828300710336,0.3917606388625657
6767,CZE,DEU,0.3558,C276C203,000,0.40464005458887753,0.014027294653543954,0.39061275993533356
18190,UGA,ARE,0.4926,C784C800,000,0.5602183555100648,0.1789603211041363,0.38125803440592854
1746,NLD,BEL,0.3408,C056C528,000,0.38758103036506314,0.008672844085256195,0.37890818627980694
13254,ZAF,NAM,0.3794,C516C710,000,0.43147958603434555,0.059266929842675814,0.37221265619166977
18178,SDN,ARE,0.43620000000000003,C784C736,000,0.49607642442852273,0.12480542484747753,0.3712709995810452
6841,POL,DEU,0.34199999999999997,C276C616,000,0.38894575230296824,0.025851830169273365,0.36309392213369485
4015,KOR,CHN,0.352,C156C410,000,0.4003184351188445,0.04789952564161683,0.3524189094772277
5568,USA,DOM,0.4137,C214C840,000,0.4704878880928011,0.11887469199785877,0.35161319609494235
12334,CHN,MNG,0.3578,C496C156,000,0.4069145911520528,0.058745807261332175,0.34816878389072065
14268,AFG,PAK,0.3157,C586C004,000,0.35903559649721367,0.018778467016454182,0.3402571294807595
6732,AUT,DEU,0.32089999999999996,C276C040,000,0.3649493915614693,0.02626092417683984,0.3386884673846295
3956,SLB,CHN,0.6098,C156C090,000,0.6935061981121347,0.35535252085593017,0.3381536772562045
18135,MLI,ARE,0.5894,C784C466,000,0.6703059251677471,0.33388484679587555,0.3364210783718716
13283,ZMB,NAM,0.3581,C516C894,000,0.40725577163652904,0.07092349517521788,0.33633227646131114
20307,ZAF,ZMB,0.3445,C894C710,000,0.3917889230069373,0.057255367607698,0.3345335553992393
19663,TTO,USA,0.4454,C840C780,000,0.5065392926191289,0.17534955360991542,0.33118973900921345
12926,ZAF,MOZ,0.3062,C508C710,000,0.3482315478221313,0.02194462377124939,0.3262869240508819
19564,SLV,USA,0.42110000000000003,C840C222,000,0.4789036733765496,0.1528421405071184,0.3260615328694312
3072,RUS,BLR,0.313,C112C643,000,0.3559649721369271,0.0344323688447188,0.32153260329220834
2410,PRY,BRA,0.3459,C076C600,000,0.39338109860116,0.07335082270905552,0.3200302758921045
10747,LTU,LVA,0.29209999999999997,C428C440,000,0.3321960650517457,0.013206735848943121,0.3189893292028026
9468,RUS,KAZ,0.3796,C398C643,000,0.43170703969066304,0.11381734194903956,0.31788969774162346
8682,GBR,IRL,0.2908,C372C826,000,0.3307176162856818,0.023076928860276794,0.307640687425405
19525,BHS,USA,0.33659999999999995,C840C044,000,0.38280450358239504,0.07690931254122568,0.30589519104116936
17630,KGZ,CHE,0.49579999999999996,C756C417,000,0.5638576140111452,0.25801883198771397,0.30583878202343123
6789,HUN,DEU,0.2974,C276C348,000,0.33822358694416016,0.03456105309164981,0.30366253385251035
19576,GRD,USA,0.4139,C840C308,000,0.4707153417491186,0.1675564729068385,0.3031588688422801
11074,LVA,LTU,0.27749999999999997,C440C428,000,0.31559194814056635,0.013206735848943121,0.30238521229162324
19300,NOR,GBR,0.3155,C826C578,000,0.3588081428408962,0.05799682825459773,0.30081131458629845
4978,GRC,CYP,0.3029,C196C300,000,0.3444785624928921,0.045895050713843207,0.2985835117790489
1596,RUS,ARM,0.3391,C051C643,000,0.3856476742863642,0.0903724394972523,0.2952752347891119
16813,LSO,ZAF,0.2717,C710C426,000,0.3089957921073581,0.020337529246419756,0.2886582628609384
16434,CHN,VNM,0.3498,C704C156,000,0.39781644489935175,0.11682523722931398,0.28099120767003777
770,PRY,ARG,0.29259999999999997,C032C600,000,0.3327646991925395,0.052685157153769514,0.28007954203876995
13462,BEL,NLD,0.2538,C528C056,000,0.28863868986693964,0.008672844085256195,0.27996584578168343
11166,BEL,LUX,0.2544,C442C056,000,0.2893210508358922,0.009413442626894877,0.27990760820899735
6830,NLD,DEU,0.2713,C276C528,000,0.3085408847947231,0.028963574047824788,0.2795773107468983
5140,DEU,CZE,0.2564,C203C276,000,0.2915955873990675,0.014027294653543954,0.2775682927455235
17175,PRT,ESP,0.2629,C724C620,000,0.29898783122938705,0.025107427337558316,0.2738804038918287
19577,GTM,USA,0.3732,C840C320,000,0.42442852268850223,0.1506173074648291,0.27381121522367313
13515,ISL,NLD,0.3289,C528C352,000,0.3740475378141704,0.10137931829527706,0.2726682195188933
15145,DEU,POL,0.259,C616C276,000,0.2945524849311953,0.025851830169273365,0.26870065476192195
8942,LBY,ITA,0.28030000000000005,C380C434,000,0.3187762993290118,0.051116877414646565,0.26765942191436526
7536,USA,HND,0.3644,C340C840,000,0.4144205618105311,0.14715099272423257,0.2672695690862985
11350,CHN,MAC,0.3197,C446C156,000,0.36358466962356417,0.09937993580323148,0.2642047338203327
4584,USA,CRI,0.377,C188C840,000,0.42875014215853524,0.1649432413954878,0.26380690076304747
7264,SLV,GTM,0.2381,C320C222,000,0.27078357784601387,0.009077833068352918,0.26170574477766095
7765,DEU,HUN,0.2605,C348C276,000,0.29625838735357674,0.03456105309164981,0.26169733426192693
17158,MAR,ESP,0.262,C724C504,000,0.2979642897759582,0.03822597282564021,0.25973831695031796
72,ITA,ALB,0.2536,C008C380,000,0.2884112362106221,0.03066300906814441,0.2577482271424777
9874,CHN,KOR,0.2686,C410C156,000,0.3054702604344365,0.04789952564161683,0.25757073479281967
16165,MYS,SGP,0.2403,C702C458,000,0.2732855680655067,0.015815787152225733,0.25746978091328093
8036,AFG,IND,0.2705,C356C004,000,0.307631070169453,0.05031752539701952,0.2573135447724335
3149,CHN,KHM,0.37370000000000003,C116C156,000,0.42499715682929606,0.1679646196010658,0.2570325372282303
6410,BEL,FRA,0.2375,C250C056,000,0.2701012168770613,0.013151340573680928,0.25694987630338034
4011,JPN,CHN,0.3158,C156C392,000,0.35914932332537247,0.10516235647451075,0.25398696685086175
2821,CHN,MMR,0.3655,C104C156,000,0.4156715569202775,0.16209979770599806,0.25357175921427944
17496,NOR,SWE,0.24080000000000001,C752C578,000,0.27385420220630047,0.02092939959380808,0.2529248026124924
13505,DEU,NLD,0.2464,C528C276,000,0.2802229045831912,0.028963574047824788,0.2512593305353664
11209,DEU,LUX,0.24459999999999998,C442C276,000,0.2781758216763334,0.030255759564857383,0.24792006211147605
6756,TCD,DEU,0.4129,C276C148,000,0.469578073467531,0.2252965241118812,0.2442815493556498
5800,GTM,SLV,0.2224,C222C320,000,0.25292846582508816,0.009077833068352918,0.24385063275673524
18064,BDI,ARE,0.39120000000000005,C784C108,000,0.44489935175707956,0.20647611467202912,0.23842323708505045
9218,CHN,JPN,0.3012,C392C156,000,0.34254520641419317,0.10516235647451075,0.23738284993968242
5304,DEU,DNK,0.2236,C208C276,000,0.2542931877629933,0.0176924900607283,0.23660069770226502
6452,DEU,FRA,0.2425,C250C276,000,0.27578755828499946,0.04411708391893003,0.2316704743660694
18721,BLR,UKR,0.2224,C804C112,000,0.25292846582508816,0.021729468361739366,0.2311989974633488
17605,DEU,CHE,0.2358,C756C276,000,0.26816786079836236,0.037857693487496465,0.2303101673108659
7372,USA,GTM,0.33390000000000003,C320C840,000,0.37973387922210855,0.1506173074648291,0.22911657175727945
6855,SVK,DEU,0.2253,C276C703,000,0.25622654384169224,0.027766315342065324,0.2284602284996269
10288,RUS,KGZ,0.3317,C417C643,000,0.37723188900261573,0.14965901732029616,0.22757287168231957
18040,AFG,ARE,0.27780000000000005,C784C004,000,0.3159331286250427,0.09090273447759428,0.2250303941474484
4725,SVN,HRV,0.201,C191C705,000,0.22859092459911295,0.005881617910938512,0.22270930668817443
