,Reporter,Partner,Trade_Indicator,CountryPair,L3
0,Afghanistan,Albania,0.0,C004C008,N03
1,Afghanistan,Algeria,0.0,C004C012,N03
2,Afghanistan,Angola,0.0,C004C024,N03
3,Afghanistan,Antigua and Barbuda,0.0,C004C028,N03
4,Afghanistan,Azerbaijan,0.0,C004C031,N03
5,Afghanistan,Argentina,0.0,C004C032,N03
6,Afghanistan,Australia,0.0,C004C036,N03
7,Afghanistan,Austria,0.0,C004C040,N03
8,Afghanistan,Bahamas,0.0,C004C044,N03
9,Afghanistan,"Bahrain, Kingdom of",0.0,C004C048,N03
10,Afghanistan,Bangladesh,0.0242,C004C050,N03
11,Afghanistan,Armenia,0.0,C004C051,N03
12,Afghanistan,Barbados,0.0,C004C052,N03
13,Afghanistan,Belgium,0.0076,C004C056,N03
14,Afghanistan,Bolivia,0.0,C004C068,N03
15,Afghanistan,Bosnia & Herzegovina,0.0,C004C070,N03
16,Afghanistan,Botswana,0.0,C004C072,N03
17,Afghanistan,Brazil,0.0,C004C076,N03
18,Afghanistan,Belize,0.0,C004C084,N03
19,Afghanistan,Solomon Islands,0.0,C004C090,N03
20,Afghanistan,Brunei Darussalam,0.0,C004C096,N03
21,Afghanistan,Bulgaria,0.0,C004C100,N03
22,Afghanistan,Myanmar,0.0,C004C104,N03
23,Afghanistan,Burundi,0.0,C004C108,N03
24,Afghanistan,Belarus,0.0014,C004C112,N03
25,Afghanistan,Cambodia,0.0,C004C116,N03
26,Afghanistan,Cameroon,0.0,C004C120,N03
27,Afghanistan,Canada,0.0002,C004C124,N03
28,Afghanistan,Cabo Verde,0.0,C004C132,N03
29,Afghanistan,Central African Republic,0.0,C004C140,N03
30,Afghanistan,Sri Lanka,0.0,C004C144,N03
31,Afghanistan,Chad,0.0,C004C148,N03
32,Afghanistan,Chile,0.0,C004C152,N03
33,Afghanistan,China,0.0338,C004C156,N03
34,Afghanistan,"Taipei, Chinese",0.0023,C004C158,N03
35,Afghanistan,Colombia,0.0,C004C170,N03
36,Afghanistan,Comoros,0.0,C004C174,N03
